会员卡号,总累计积分
7660,95974
26796,116742
59631,97064
55240,98661
47657,99217
12656,92074
34530,102737
49855,103944
56163,132389
30116,112148
37142,93384
26580,94769
10105,118859
45796,111691
30865,90987
1260,95680
29550,87859
53079,111951
57868,92776
62499,99761
19538,175628
3893,84879
55820,93666
41140,95706
55140,83722
21169,89559
18371,94736
10111,83227
22929,93530
59441,71428
12479,100622
39109,89159
29044,107309
15284,87682
2047,108712
2051,97837
35700,89168
53997,97748
56624,94159
29198,89866
9658,90456
14574,87371
60068,98430
3881,88729
999,77676
2115,159864
47309,102405
20305,114156
62894,91678
40362,97737
29121,87386
26669,98478
44965,88756
56097,96875
40749,100735
4317,94472
19249,111388
47093,116008
20402,109012
5910,70768
30564,79092
30096,107978
30771,60079
31028,95136
31495,65534
14282,80677
14969,115585
9594,91653
59729,95535
46647,68530
57726,136426
11321,99856
59560,94032
56492,186468
18022,86144
11183,146263
11243,91186
11191,98090
55420,83850
61982,73089
20557,98435
8692,98939
37007,86281
557,101850
53184,84979
23126,68332
50244,99664
9569,109979
45995,92398
8525,83170
9611,77193
54785,106925
5903,94615
15475,82133
18844,84454
5167,128256
19179,85451
15802,101194
40135,62317
42700,94678
34525,85098
57559,91456
16715,86358
43846,82553
54645,80026
56118,93153
45566,82659
38361,78582
156,168458
29824,84859
2149,103861
8678,84126
53581,84105
30326,98920
43637,75280
55499,95565
42157,88211
10283,212792
19508,109822
55130,64174
29440,65164
40177,120965
49867,75853
38621,80251
40322,90062
58432,91921
42627,89175
35314,100125
57188,94601
17102,61160
62873,75546
29484,68776
29166,79794
36116,81026
60503,100772
18790,90497
11105,89158
41035,77247
21151,85646
47964,80714
46252,89995
44810,82506
47782,82252
39078,81902
11878,54198
23577,69073
19053,138707
51497,79467
2155,82102
20561,135820
59249,85382
31448,89527
62033,83899
57741,122622
38207,90686
37124,108171
31799,92059
31240,92593
2018,70001
22701,84043
29347,80860
1035,94798
4331,89831
33530,77155
55364,101599
47792,68847
52714,82077
26509,85016
44606,73549
3570,86959
9520,92059
62795,133497
1282,82323
56170,133546
6022,83425
30310,88321
9733,88772
46272,80328
6480,71836
57857,91787
15633,69482
47933,61541
62373,68801
24551,73542
35715,84490
15383,74225
12319,53181
57582,85122
40819,83267
36972,108938
46348,96520
26844,73938
24762,80003
707,87710
11032,117769
40022,102179
61843,68505
45980,100768
47214,67265
22310,85463
35904,69344
30242,60763
51864,96763
11681,113445
46215,79080
23105,87630
38006,80821
3624,75693
19168,87817
49645,92308
18792,82052
42199,74102
48826,98321
45997,84562
9589,81242
52831,105390
7581,168921
37156,79865
49748,65879
26663,80434
14917,93882
10971,75851
30463,87685
58269,202917
49045,91990
49564,83068
53643,74542
23142,93300
23352,52546
4192,85495
16720,80431
57187,79079
38771,84398
51044,84980
24277,91982
30903,75053
44,162791
45587,78426
11152,81631
57717,126899
59352,81404
8329,72926
20194,78021
38225,91664
38493,78359
54597,85521
13946,87565
693,87080
33570,133456
47381,95106
40402,81518
3553,96007
4254,67968
3120,87292
49051,77930
60765,79308
61862,75320
13352,79230
39682,67236
46158,81281
45610,79652
31016,85452
16656,79764
35754,75671
14539,92501
30130,93640
8614,85942
10498,72238
31428,85362
47405,85360
2893,78554
58076,94384
8211,101356
35446,85104
19873,64873
22454,80460
61764,41770
7646,70204
1204,102096
45667,80102
55477,95994
22402,73031
59835,84095
46767,90814
49656,65237
38026,76800
24643,66989
29118,89192
31026,70055
100,75624
14666,55828
44944,63884
48044,84669
18819,88919
686,85692
32225,89815
56750,96448
42189,75684
54838,42943
22999,69929
28041,69312
40606,160506
4311,67588
10171,94649
22784,85005
27644,90520
32881,75653
10004,75158
36016,93821
37456,80560
3697,61080
39058,86938
8485,133463
35783,83957
26950,80284
38980,85368
47271,62757
1040,74699
30713,75757
19525,61602
58402,78055
54876,78385
26567,60508
3549,45726
35787,92696
12148,75195
35299,81103
3231,75366
26458,67975
19658,75037
31527,87795
44959,83218
37260,90142
39235,74309
50062,77398
50754,72089
20336,91476
21048,80843
28646,81660
27096,84968
11037,77788
44988,66589
3732,78423
24799,67453
56229,97571
20552,86753
60025,90726
47191,87436
57185,78742
45664,73639
4387,66622
19503,112140
44441,61188
812,64258
58462,107081
55206,66176
36550,71232
43463,82175
42653,85478
34453,75664
3799,76757
29050,100636
8651,69509
36622,71866
16652,94013
50367,70498
26358,61354
11759,120492
11295,76719
30402,107999
35932,69125
58495,71861
14053,81124
2380,73422
19962,91018
53352,81965
15770,78066
3057,64215
8515,69119
26513,84234
8947,62761
755,81265
62287,68209
49644,67227
31064,87899
22223,84416
47257,69748
8492,80297
54654,112370
9844,86749
24359,74039
310,94980
41094,74326
62863,67406
28006,118463
35937,77319
16747,73388
43999,41868
9713,82415
48126,77351
57568,73374
44961,68529
45005,75480
9735,70880
57421,73785
38099,143212
2310,77417
34110,74254
42624,87533
40132,67206
11220,71605
54602,78041
32423,86108
25115,78355
22014,77993
38067,84231
52661,69819
45577,75183
57913,58746
921,97563
41275,83630
13131,72740
56192,82713
26638,73965
49794,116550
47757,88447
41770,73329
13247,76909
43906,72019
44952,70389
3257,79820
17745,67474
40265,88765
60246,77046
26831,68954
10110,68061
23777,61383
6306,59508
6947,80678
2472,71129
18673,62816
46824,71180
55871,58707
53944,65919
56408,79215
62462,69055
24465,61260
8313,66022
38248,73274
14125,72848
46523,62646
18043,73026
60273,47307
37404,73048
1041,70960
54031,62236
26500,73012
45866,69123
57633,68062
17391,64720
50048,75470
8898,64546
47233,84365
891,70004
35836,70939
18870,66083
27973,79520
9489,244458
27928,69020
48152,73247
4908,68214
2182,65578
30905,72139
25211,78390
19386,75899
50889,66352
23700,71376
62966,69379
29752,113456
19265,74500
11051,67463
3793,80825
41265,65315
8259,66595
29959,69393
31387,71016
58849,74228
36711,87703
39494,48848
46309,74502
13631,65749
34095,75139
48928,70380
56839,76935
49221,88797
38177,100329
62939,64058
20800,78754
49145,67418
60299,79953
21206,73623
46031,74325
58208,67635
39669,79862
22317,99585
53868,104612
56668,74086
48877,73844
8262,57932
3435,69867
31481,66695
59292,76699
59263,69709
48232,76686
48981,71012
54771,88598
8876,70990
34723,61205
580,85123
50550,64430
58162,63861
17679,67252
27781,70772
21116,59984
21362,77887
13991,66770
3518,47147
59386,103847
47698,59652
3406,103207
28602,44196
20651,73501
40682,61875
48252,74759
29499,78112
7496,65806
11209,85695
12408,65516
46565,74829
62884,69047
17394,62392
20122,83593
53718,53605
21976,61368
33392,55658
28209,85446
38332,66610
31866,72042
703,74820
6004,73560
45659,67070
29159,71391
44782,65674
5228,59429
54893,79823
17727,65013
54705,58799
57649,66307
56375,49313
9972,105100
21336,77519
26946,73312
56734,78245
28516,74335
15317,67139
62016,64238
31106,76497
56635,62758
44424,62501
5845,70965
4256,44196
47210,57440
29969,67664
24284,67090
29509,68138
53680,90378
12206,74311
9963,61290
9846,77706
57698,65767
24517,60726
44748,62858
37140,61843
16533,49502
62918,72130
35486,64703
60183,65776
21743,66788
38338,66725
71,78873
54690,60431
9633,66098
21955,61253
19540,71027
27411,74309
37051,79312
40327,75818
12217,67815
62967,72917
23453,71369
40146,87695
40535,66188
55224,66856
56340,69755
9967,74373
3757,84839
10528,70110
50802,54054
18848,65046
26778,54235
13682,66719
59489,91976
44049,65725
40632,66661
62623,62606
30553,60816
20286,60559
13182,71214
26098,76412
36795,58590
47109,80884
22937,63749
19207,75928
27609,61664
42203,72757
53697,89845
23336,76837
49054,65898
38421,65140
45743,71277
29125,67117
56764,67024
11060,59030
49963,64957
62174,62665
44370,50423
11538,75126
35887,57567
19107,78999
55424,73278
29649,58749
7063,71697
28852,66351
13041,67694
43617,67836
26642,57846
13254,85162
62936,66014
47165,63226
49168,81644
37208,63388
14359,46070
52856,78172
43158,77078
62246,63803
18926,68261
14966,100080
32229,68922
4546,68512
15109,78666
26397,72790
3882,66288
56116,42290
60434,72365
40158,82449
4363,61750
27026,55183
7585,61308
7448,59957
17863,66584
20411,67595
40106,65677
20722,38173
31967,75751
27738,66333
15192,66734
21682,76788
13553,75957
1191,66604
49196,73318
6737,61677
41729,57812
5284,87432
24786,62528
59048,75763
36863,61056
20187,94322
47133,71024
8355,62688
1125,51181
9562,40466
37274,39033
62435,55194
20299,90522
35910,62339
59586,65247
2627,119057
4188,60637
28439,82404
31964,59544
41341,47658
20839,55317
48517,55941
11033,62846
10270,59917
20440,61201
56517,63747
48310,46837
27046,67654
38024,74055
19047,45196
62890,58998
30747,60137
8431,61284
38194,74975
38410,46982
3835,88220
29296,64396
32390,55154
27021,53831
44029,64106
14166,58170
29247,32564
35479,58405
8513,79760
39324,85229
49304,67984
28531,41868
54441,63977
53956,58673
27500,72816
18975,45086
3670,54433
28678,67220
15526,54687
58031,77090
37508,51688
37762,64230
708,55646
1022,59029
38047,63305
54961,61166
9858,69437
29255,75605
18976,74926
676,71824
44531,57530
29215,64892
38741,62983
26133,61360
44647,60296
38132,66105
20775,60586
35452,118910
6779,66521
9575,59485
56468,71854
27085,58479
17635,59398
26019,59510
62905,58203
10525,79474
54589,45554
2981,119218
30987,53504
5489,73019
1502,106698
62839,57010
8638,73583
40763,60468
28236,46307
46967,67347
29173,63387
20860,66242
54166,46039
44823,62730
31270,64267
26814,53305
62338,56613
45752,70462
60391,71358
44675,58412
12801,56010
23221,59438
53730,72084
19085,50182
4181,79515
45807,92536
19475,88991
13752,70751
573,65025
11572,66074
32845,75332
46317,51043
12158,62681
46898,60456
53994,61576
34787,64384
13704,45589
10596,67405
9710,40093
44599,64226
37160,64113
26673,64053
62577,71666
62825,56652
23628,73194
30848,61637
57358,57005
61361,66032
14570,73279
5132,76744
44869,47854
9700,71282
47297,49507
17725,56662
37290,33064
39391,55362
28410,55707
37204,56781
36235,75030
56242,63618
22097,65483
744,57703
4853,58679
18181,89264
47090,54417
2972,60020
8425,58662
26507,69694
3802,55359
8563,52174
13977,60894
20222,69260
62965,56525
51486,58795
40063,61818
1340,66859
38551,67532
29291,61527
43181,60981
40168,68505
11009,63649
11873,58535
40363,71000
26494,63862
26704,60432
2267,60084
56086,49476
28509,67082
53993,48003
48025,63084
16571,49897
17254,54831
53645,56716
32425,52037
24965,59026
39887,62143
49687,57714
3172,56676
31638,55289
54673,55752
44682,62354
49026,84904
35923,46032
40837,61496
40008,56625
11228,61617
39043,56707
1039,50608
27666,33338
5130,54585
11195,41306
50899,57562
30924,34667
62600,65886
55437,65171
28281,72854
25040,57752
2615,57897
41149,61059
3930,59672
60782,43022
49806,68952
53946,58269
18096,52114
32801,44656
47076,58016
59143,70963
44838,69022
19023,58296
39672,65558
8353,56394
42229,55601
635,61087
8505,61520
21205,48450
32208,58718
12569,55444
22276,59835
54611,53317
10223,65695
3722,62646
722,59035
60228,61943
27720,54725
41083,58748
38196,193107
51446,58290
20424,59466
13196,55078
15974,92188
25999,64334
2656,55890
32501,56476
22422,77354
36857,51548
11017,55549
50058,59092
21139,98920
8395,53552
62543,57808
13566,58018
23032,121584
19199,79732
43339,63999
45734,53492
4759,66692
47201,62807
45744,68307
10176,67343
17213,58000
23991,48563
27322,64130
62478,56343
20146,63053
29795,59445
10826,63261
16938,50005
26962,47812
56928,50194
38632,57175
49524,57769
10968,116409
29460,65192
5474,67820
30761,74366
15490,41635
57211,125219
50658,59215
47583,55713
27688,51216
4401,50855
59670,41221
23899,44534
6538,45396
45060,57100
38009,62751
59395,57365
29141,51018
14855,78068
15007,62764
46060,99278
5560,62621
40738,54561
29664,56714
45867,47752
58729,39544
624,57779
29370,95271
58018,64594
55330,52238
1250,61606
29919,54888
42220,56619
26771,55840
49264,54285
35942,55686
11478,102305
54720,56546
30475,54190
60165,71629
26999,59287
50952,60968
9976,58560
48605,46310
14486,58762
48174,61408
19071,52520
2579,52806
44660,64922
55008,52456
39920,57514
58123,56082
58190,58084
62481,65014
51020,58941
44638,50377
56605,62053
54731,85307
743,61015
19726,60209
47937,45510
60067,56583
35554,87394
18058,51541
23884,43974
21057,48796
31648,39544
4228,59728
35307,52084
46906,60117
3962,106444
61968,67403
43481,35918
17928,58714
58234,63269
60609,55424
27144,53137
13360,59627
57607,53333
34382,63662
16663,41384
46300,52275
5487,59216
36879,81988
26099,61320
20688,63082
46092,57209
58557,56919
29524,60801
38533,56526
61722,100318
11955,42832
39810,65214
3150,53462
47424,60230
1379,55916
21791,65302
31500,68565
62620,61831
36745,51046
29090,66272
57025,61848
36013,70017
38210,51508
2119,52264
8161,53161
31112,53357
28074,46933
33308,46609
41200,58530
31469,49976
44607,58981
62928,57379
8906,49861
62853,58090
20142,81496
27080,75015
32976,63574
60481,46762
35760,73225
21193,45008
26993,50122
21640,56909
45626,54705
33221,65377
2211,54024
11430,49155
62539,88153
47965,57339
53621,65295
19566,52804
57994,46137
11026,58372
3083,55757
47614,59074
58898,64554
39495,39533
1391,48638
12126,68544
7827,59073
49675,50049
1079,58478
38057,57569
37098,62693
36632,61288
45929,45803
48026,60914
52730,60197
51358,50355
10243,51906
11636,64779
24300,52448
45823,56711
48404,60308
24606,53210
46456,40822
21765,94551
39192,54995
45170,59496
36718,63609
45432,98041
53479,51377
51445,55557
1291,79929
1209,61593
26913,49953
26379,61895
29235,59180
48062,57491
38102,54506
12824,53526
41809,61509
20878,36274
39437,54171
51239,52868
47336,53396
56076,73523
10510,62534
653,57790
29082,53561
53298,50016
45689,49928
51247,53945
5848,50673
12151,53146
29085,56672
29355,49113
145,55040
29239,65742
22657,67684
58013,56791
56168,173209
47091,78459
21271,57312
36017,57919
43645,37315
48362,56704
7947,52577
9877,53583
34543,53445
4654,51385
16386,56567
62934,57341
22346,53176
46448,52929
12430,46086
28053,54434
19687,51375
26706,50353
58728,38534
53719,53809
29386,77541
19530,47628
5628,34892
49972,63888
13213,51641
48811,75804
13901,63299
10181,45633
28160,61084
48298,84640
4280,46217
13625,71006
41040,58579
55076,46675
28554,49470
33649,41861
52751,52331
26994,51554
54864,61879
8646,48651
11420,82785
28149,48692
54251,67097
3437,59526
46213,51758
51269,39502
4750,48750
38352,54234
26989,60560
37617,49424
24393,54162
38052,53225
4842,51026
62002,55979
54821,69578
53145,53161
7524,48196
5593,39744
38666,46704
34767,52388
53533,46892
25990,58122
28677,61159
51011,52675
45818,54266
40067,50978
47783,52451
49838,57318
31130,50050
54125,139562
60638,46895
48508,41892
47302,58735
53740,75254
47581,51485
58954,60605
13649,51893
14106,68390
8719,55400
20395,66044
37430,50666
37075,50120
16646,47909
3698,95884
23925,56186
52777,122989
44794,54523
53800,42454
36720,66169
24159,46762
39321,55218
54738,54067
1064,61757
53604,52612
23989,35362
38298,56067
38796,56112
10993,47371
61072,57203
24509,51490
35702,54367
29730,56183
26977,43211
25692,54143
29809,52021
36699,52667
50179,32564
22671,41009
19320,51661
50335,47525
23511,48373
31272,68889
21852,58484
53764,55072
44943,49188
18849,56360
59221,57629
18757,57802
13439,58656
22588,49430
42872,46349
35142,56443
33177,60010
29766,68765
36523,43932
43910,44895
48225,40562
31693,32541
39301,47312
16729,50118
40361,56952
9883,59184
12518,52502
3139,60205
17750,41676
57505,49985
35476,50094
33512,27912
32592,57635
44968,48480
1114,53742
27042,50194
47080,52598
9872,64776
10298,53444
14665,64606
22285,66581
32305,57454
35630,54774
26365,65960
14442,43009
56452,56629
42691,38254
48276,52502
46706,52136
8231,50376
39667,52807
56350,80436
40046,57185
26644,52514
38068,57236
17742,46780
22898,57377
62,46880
55014,62921
38051,53410
38547,38408
55124,60898
29299,48009
15710,53575
48622,49873
14739,67276
17478,48478
9825,49825
50219,51673
38171,53894
32943,58790
23235,49247
730,49704
2678,69438
46724,63303
20783,48106
39744,44198
47633,52451
27764,49598
11778,50819
29346,56100
36948,66602
40320,50481
38579,52121
8858,46535
20364,49243
62775,55964
1875,61786
680,62952
56244,57383
44979,55278
62567,52423
62727,56785
2035,64227
5370,49028
2175,50470
59206,74348
27121,109269
3091,54265
47116,52723
54703,96494
36739,73167
39239,51923
47198,50568
43663,38084
9519,47943
9863,48034
47804,50047
25962,42968
45158,52216
45403,47102
35534,54264
23176,51749
52247,43436
15278,49412
4638,51690
3812,67130
12637,37960
4191,81316
15073,57308
50697,64340
62179,42829
35268,52566
44699,77333
55253,61176
13648,50886
36719,56877
58905,61043
54371,59307
15906,48186
46014,47054
53782,49934
38083,151340
58570,59920
37748,76438
57009,49102
39209,34862
53951,42953
28119,52618
11006,53679
2071,46372
43153,48959
13880,46970
2690,54460
29503,52381
19345,40223
48210,49998
50902,51504
12445,45497
21335,47281
799,62550
272,54987
47423,55543
53716,50563
7515,56955
54810,53657
57005,80485
31411,52869
57332,27912
38521,54684
22093,38713
39213,39688
2555,48688
61760,53310
35455,103652
49130,38448
19357,49981
23817,48963
19396,40833
52639,47328
37704,57977
62267,53235
11181,77186
13105,49426
16700,48543
61568,47569
49899,60642
14982,60877
30180,72532
44809,48756
1080,52796
24741,44104
30721,55163
21718,45115
38331,52184
40610,62199
62709,48734
16947,53976
57666,48969
26258,47584
47852,57783
27985,64565
20398,44619
21780,59326
44410,37652
46125,55818
48114,45817
51625,51035
56537,46858
27640,42789
19167,76530
17759,58130
12543,54676
47576,49503
11064,53288
53178,65169
5308,43954
19615,47550
23581,46240
21226,50082
54659,36549
29207,47821
49389,57105
26011,76068
28444,72322
38565,62346
49038,58285
36880,51750
9587,89073
9609,51937
56098,55349
2657,62256
53670,50979
29203,52935
37164,56610
53677,52296
38379,47573
56070,58712
52946,43768
31091,49628
19263,51788
41846,60529
36961,50409
35618,92236
59541,49761
11768,48390
15017,52359
44842,63028
20636,66664
49795,64647
30951,44348
37079,53077
58647,47464
5758,52583
59608,57539
62020,33611
38801,57923
46511,53101
2654,59870
8944,43105
51534,47722
20347,86528
47593,47706
57071,59193
46108,109067
40709,49700
14554,55443
3848,55373
32615,49090
43953,53609
45918,59895
59974,60066
47429,39301
32166,84131
9580,48768
48248,36090
32134,44660
58221,49660
2478,45128
500,61944
21225,43638
46081,44088
17650,39605
8736,55780
39836,57949
39579,49412
30331,48797
30325,51328
18201,52372
2045,38733
288,48601
50522,56201
23412,47538
12647,38460
37273,63304
51570,46766
12869,46831
26864,62428
12344,38963
28030,52558
31637,57471
36830,50221
23239,53030
21532,47511
55170,48604
19582,48790
59398,48570
10489,59080
10816,51441
46269,63766
48719,51511
18171,52849
13581,50764
23987,62777
38012,58721
39230,57493
1824,46247
60269,45893
31230,52383
49710,66719
5261,50936
13858,59632
3939,60076
1225,58684
14631,53712
13357,47246
56405,73006
59947,44608
5592,61442
19994,48833
10280,55880
56698,58783
31153,35663
5891,51174
37374,60484
43755,39597
47220,75421
26442,66110
38373,51067
34855,53369
11812,48123
52847,49968
30350,57984
8316,50316
1771,46662
57536,43746
27626,50517
17940,44998
51310,49938
37995,64258
36856,60484
115,87859
38033,45859
44946,47614
29241,50916
57082,40634
19612,52782
38605,49562
989,43837
38249,47328
48040,56199
4935,50598
29316,45819
43196,58026
10991,60795
29108,49147
14410,46133
2577,47378
32891,50070
49348,42625
37784,49605
41520,46680
52926,47202
57494,67252
31558,47167
3045,40592
8356,41355
59818,49416
19272,53169
60677,51192
18915,49043
2465,45063
60536,41767
53541,64809
47081,51440
62372,45145
9297,46798
31003,71631
50416,54750
35110,32998
20897,55256
24241,27912
33167,60484
4136,39631
13969,59471
18071,36009
59189,51316
35539,48429
45852,35707
47688,55167
28179,51684
29359,82471
48674,47518
49252,55034
33185,52201
56213,61145
53977,48305
38368,64127
48379,44811
22032,46449
14576,50127
36757,46568
13499,44500
48512,44781
30898,49450
62921,48599
4060,50195
14085,49290
47597,50976
14891,44672
8884,49678
38175,53953
11007,48664
30516,42724
39015,43088
26483,41788
22364,51196
9787,50518
26725,51092
49798,46241
35714,44019
50632,37559
35901,43563
3059,46534
56434,54713
30971,46779
26855,50844
5702,45879
17531,51189
26947,48514
54423,86088
11875,29209
10988,48499
26764,42223
10061,27912
47685,55390
8066,49316
37661,47070
20245,41598
17772,44262
8641,40711
19078,77259
5890,38876
32082,34892
47421,43074
44520,46519
18148,56811
13022,46150
41190,44832
22152,46441
50736,46737
4262,47202
20547,39757
44623,34914
59690,47205
13567,46909
57739,48047
18952,45975
31182,38538
20456,43946
30707,38203
55039,31215
11639,44308
8509,46042
47205,44522
2901,40826
28007,38489
27790,44209
13440,47003
54937,45789
1214,46175
53573,49256
6233,47924
6136,72519
13040,38927
13935,54815
48774,45289
56714,50172
20905,42754
20089,41135
41061,52642
28465,42012
45061,48821
62381,55838
40693,37602
43675,51094
44679,43735
2125,45640
41877,45069
41424,48982
30711,39827
14853,58490
24656,39078
14114,42786
26551,42669
46564,48822
19311,37202
11470,45629
55324,48952
32784,44756
10318,46198
46454,68620
20338,46824
58690,49895
33734,58709
61615,44432
41221,43966
50805,53949
21243,49435
18661,43225
38599,49982
39257,52416
50389,42896
30712,41757
21473,46557
19335,37151
32114,41117
53767,45772
5063,59223
10608,51004
39790,46447
47981,47939
31535,44394
46003,48683
50690,60114
5116,51488
62674,47749
48564,42985
57201,53740
57995,49226
56732,49080
35159,54507
35921,40339
62748,46327
50151,50273
29194,54154
53214,41606
11794,59596
41971,50839
57534,45064
49064,43901
62448,43010
11035,49459
3519,27912
36738,46355
24060,40179
1994,40189
48823,42885
4618,45492
21046,50647
15753,60158
8065,39330
57838,44121
36620,42527
23175,59483
15254,49264
38951,48041
47321,53803
56330,62190
35267,40753
54978,52407
12048,43418
58322,28289
52938,61997
49918,44647
19526,112384
6411,49226
8548,46405
30436,74729
57601,46949
49691,40303
14113,42344
11708,45772
24967,44287
18693,46524
53805,41432
43113,26572
3099,45363
18920,47697
36172,47411
17821,46838
48201,51302
59137,50462
15200,36831
16719,82167
25887,56916
49402,43329
2642,53683
21488,40852
11363,48309
39248,40831
4429,45399
56844,44790
14471,40680
36544,41472
2838,61353
62619,48642
1758,37784
35961,42790
14985,24123
21509,45790
38008,45404
54021,42037
29450,35695
51856,58678
10545,42234
6205,28223
55978,49238
20482,47140
35784,35836
46796,36742
49936,58628
14191,56789
17173,49496
41481,96304
17460,40184
850,51385
18028,52805
2016,42404
12591,44196
56206,52040
45015,40784
51544,48020
39417,83106
51113,38596
23225,66081
13859,41645
6328,37744
15956,41406
39236,49354
38515,49355
9766,57581
23538,38777
53638,69455
29155,37220
47419,43500
32533,30211
18104,64904
20460,51645
48199,45789
7089,51008
21787,41786
31631,49291
36069,52335
12467,48155
18788,42714
62688,39214
58606,51822
55166,47476
44347,44891
21287,30709
2299,45625
59535,34787
2629,51044
14353,46035
4896,40362
24253,37486
1644,35166
50785,48031
47482,56105
23337,44830
7569,40517
46360,46602
4818,41549
28220,52363
51798,63637
7067,39783
61770,53510
40972,45984
3243,63074
4716,52225
10866,54690
53217,47997
51332,32199
30813,44736
20135,41199
4377,42585
8653,44274
12256,48575
8743,43799
27633,43339
2030,55988
37192,43365
35952,45684
13813,35714
35094,41198
593,51940
57329,45823
9989,46155
38539,36743
37165,64204
17005,45756
9806,52199
1728,47890
39098,42518
39711,50090
26982,49893
48895,45939
3355,46692
7855,49643
20533,82805
2405,46208
